   J5012   12% 
0.996195 0.087156
0.993428 0.087345
0.985159 0.087887
0.971489 0.088779
0.952555 0.089953
0.928580 0.091369
0.899834 0.092939
0.866624 0.094591
0.829340 0.096218
0.788373 0.097723
0.744203 0.099008
0.697312 0.099955
0.648220 0.100468
0.597478 0.100456
0.545636 0.099825
0.493292 0.098508
0.441013 0.096434
0.389366 0.093572
0.338946 0.089883
0.290294 0.085376
0.243951 0.080056
0.200427 0.073960
0.160196 0.067158
0.123696 0.059718
0.091328 0.051747
0.063453 0.043355
0.040362 0.034670
0.022303 0.025842
0.009483 0.017011
0.002020 0.008348
0.000000 0.000000
0.003439 -0.007870
0.012293 -0.015106
0.026451 -0.021577
0.045769 -0.027134
0.070017 -0.031678
0.098926 -0.035102
0.132187 -0.037331
0.169415 -0.038320
0.210225 -0.038032
0.254146 -0.036478
0.300709 -0.033670
0.349405 -0.029660
0.399700 -0.024537
0.451059 -0.018388
0.502903 -0.011352
0.554681 -0.003560
0.605845 0.004821
0.655819 0.013620
0.704075 0.022650
0.750089 0.031725
0.793365 0.040661
0.833439 0.049256
0.869883 0.057333
0.902302 0.064727
0.930339 0.071266
0.953704 0.076823
0.972146 0.081267
0.985454 0.084520
0.993503 0.086489
